Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,2500
Zero Index,249.84765625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
3.28609375e-09,1.41046875e-03
3.32609375e-09,1.38257813e-03
3.36609375e-09,1.26304688e-03
3.40609375e-09,1.18468750e-03
3.44609375e-09,1.19265625e-03
3.48609375e-09,1.20460938e-03
3.52609375e-09,1.10367188e-03
3.56609375e-09,8.51328125e-04
3.60609375e-09,5.33906250e-04
3.64609375e-09,2.93515625e-04
3.68609375e-09,2.19140625e-04
3.72609375e-09,2.73593750e-04
3.76609375e-09,3.46640625e-04
3.80609375e-09,3.46640625e-04
3.84609375e-09,2.82890625e-04
3.88609375e-09,2.36406250e-04
3.92609375e-09,2.74921875e-04
3.96609375e-09,3.86484375e-04
4.00609375e-09,4.96718750e-04
4.04609375e-09,5.45859375e-04
4.08609375e-09,5.56484375e-04
4.12609375e-09,6.04296875e-04
4.16609375e-09,7.50390625e-04
4.20609375e-09,9.61562500e-04
4.24609375e-09,1.12890625e-03
4.28609375e-09,1.15546875e-03
4.32609375e-09,1.03726563e-03
4.36609375e-09,8.69921875e-04
4.40609375e-09,7.61015625e-04
4.44609375e-09,7.47734375e-04
4.48609375e-09,7.59687500e-04
4.52609375e-09,7.01250000e-04
4.56609375e-09,5.29921875e-04
4.60609375e-09,3.04140625e-04
4.64609375e-09,1.22187500e-04
4.68609375e-09,4.78125000e-05
4.72609375e-09,5.71093750e-05
4.76609375e-09,8.36718750e-05
4.80609375e-09,8.63281250e-05
4.84609375e-09,9.42968750e-05
4.88609375e-09,1.67343750e-04
4.92609375e-09,3.17421875e-04
4.96609375e-09,4.83437500e-04
5.00609375e-09,5.69765625e-04
5.04609375e-09,5.40546875e-04
5.08609375e-09,4.68828125e-04
5.12609375e-09,4.80781250e-04
5.16609375e-09,6.50781250e-04
5.20609375e-09,9.23046875e-04
5.24609375e-09,1.14218750e-03
5.28609375e-09,1.17273438e-03
5.32609375e-09,1.00671875e-03
5.36609375e-09,7.59687500e-04
5.40609375e-09,5.76406250e-04
5.44609375e-09,5.11328125e-04
5.48609375e-09,5.04687500e-04
5.52609375e-09,4.54218750e-04
5.56609375e-09,3.26718750e-04
5.60609375e-09,1.84609375e-04
5.64609375e-09,1.28828125e-04
5.68609375e-09,1.85937500e-04
5.72609375e-09,2.82890625e-04
5.76609375e-09,3.13437500e-04
5.80609375e-09,2.41718750e-04
5.84609375e-09,1.58046875e-04
5.88609375e-09,1.99218750e-04
5.92609375e-09,4.25000000e-04
5.96609375e-09,7.43750000e-04
6.00609375e-09,9.69531250e-04
6.04609375e-09,9.72187500e-04
6.08609375e-09,7.79609375e-04
6.12609375e-09,5.63125000e-04
6.16609375e-09,4.90078125e-04
6.20609375e-09,5.96328125e-04
6.24609375e-09,7.57031250e-04
6.28609375e-09,8.07500000e-04
6.32609375e-09,6.83984375e-04
6.36609375e-09,4.76796875e-04
6.40609375e-09,3.51953125e-04
6.44609375e-09,4.03750000e-04
6.48609375e-09,5.76406250e-04
6.52609375e-09,7.11875000e-04
6.56609375e-09,6.80000000e-04
6.60609375e-09,4.80781250e-04
6.64609375e-09,2.41718750e-04
6.68609375e-09,1.15546875e-04
6.72609375e-09,1.64687500e-04
6.76609375e-09,3.32031250e-04
6.80609375e-09,4.96718750e-04
6.84609375e-09,5.79062500e-04
6.88609375e-09,5.80390625e-04
6.92609375e-09,5.71093750e-04
6.96609375e-09,6.12265625e-04
7.00609375e-09,7.10546875e-04
7.04609375e-09,8.16796875e-04
7.08609375e-09,8.81875000e-04
7.12609375e-09,8.80546875e-04
7.16609375e-09,8.27421875e-04
7.20609375e-09,7.46406250e-04
7.24609375e-09,6.49453125e-04
7.28609375e-09,5.37890625e-04
7.32609375e-09,4.22343750e-04
7.36609375e-09,3.29375000e-04
7.40609375e-09,2.92187500e-04
7.44609375e-09,3.10781250e-04
7.48609375e-09,3.53281250e-04
7.52609375e-09,3.71875000e-04
7.56609375e-09,3.43984375e-04
7.60609375e-09,2.97500000e-04
7.64609375e-09,2.85546875e-04
7.68609375e-09,3.50625000e-04
7.72609375e-09,4.82109375e-04
7.76609375e-09,6.20234375e-04
7.80609375e-09,7.07890625e-04
7.84609375e-09,7.26484375e-04
7.88609375e-09,7.09218750e-04
7.92609375e-09,7.09218750e-04
7.96609375e-09,7.53046875e-04
8.00609375e-09,8.26093750e-04
8.04609375e-09,8.91171875e-04
8.08609375e-09,9.11093750e-04
8.12609375e-09,8.73906250e-04
8.16609375e-09,7.86250000e-04
8.20609375e-09,6.58750000e-04
8.24609375e-09,5.02031250e-04
8.28609375e-09,3.38671875e-04
8.32609375e-09,2.05859375e-04
8.36609375e-09,1.48750000e-04
8.40609375e-09,1.95234375e-04
8.44609375e-09,3.30703125e-04
8.48609375e-09,5.00703125e-04
8.52609375e-09,6.45468750e-04
8.56609375e-09,7.23828125e-04
8.60609375e-09,7.33125000e-04
8.64609375e-09,6.93281250e-04
8.68609375e-09,6.33515625e-04
8.72609375e-09,5.73750000e-04
8.76609375e-09,5.23281250e-04
8.80609375e-09,4.94062500e-04
8.84609375e-09,4.92734375e-04
8.88609375e-09,5.11328125e-04
