Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000,,Record Length,50000
Zero Index,4499.77734375,,Zero Index,4499.77734375,,Zero Index,4499.77734375
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.75551094e-07,5.31250000e-04,2.02556250e-02,6.79687500e-05
-1.75511094e-07,5.45312500e-04,2.03375000e-02,-2.81250000e-05
-1.75471094e-07,6.15625000e-04,2.03487500e-02,-1.11718750e-04
-1.75431094e-07,6.60937500e-04,2.02800000e-02,-1.74218750e-04
-1.75391094e-07,6.37500000e-04,2.01818750e-02,-2.21875000e-04
-1.75351094e-07,5.79687500e-04,2.01237500e-02,-2.66406250e-04
-1.75311094e-07,5.50000000e-04,2.01387500e-02,-3.00000000e-04
-1.75271094e-07,5.78125000e-04,2.02068750e-02,-3.02343750e-04
-1.75231094e-07,6.34375000e-04,2.02731250e-02,-2.54687500e-04
-1.75191094e-07,6.50000000e-04,2.02900000e-02,-1.58593750e-04
-1.75151094e-07,5.82812500e-04,2.02506250e-02,-4.60937500e-05
-1.75111094e-07,4.45312500e-04,2.01850000e-02,3.43750000e-05
-1.75071094e-07,3.03125000e-04,2.01375000e-02,5.23437500e-05
-1.75031094e-07,2.31250000e-04,2.01350000e-02,1.56250000e-05
-1.74991094e-07,2.54687500e-04,2.01743750e-02,-3.04687500e-05
-1.74951094e-07,3.46875000e-04,2.02325000e-02,-3.98437500e-05
-1.74911094e-07,4.34375000e-04,2.02806250e-02,-4.68750000e-06
-1.74871094e-07,4.50000000e-04,2.02975000e-02,3.75000000e-05
-1.74831094e-07,3.60937500e-04,2.02750000e-02,2.73437500e-05
-1.74791094e-07,1.90625000e-04,2.02200000e-02,-5.70312500e-05
-1.74751094e-07,6.25000000e-06,2.01525000e-02,-1.77343750e-04
-1.74711094e-07,-1.07812500e-04,2.01050000e-02,-2.50000000e-04
-1.74671094e-07,-9.37500000e-05,2.01075000e-02,-2.07031250e-04
-1.74631094e-07,4.68750000e-05,2.01706250e-02,-5.31250000e-05
-1.74591094e-07,2.48437500e-04,2.02718750e-02,1.32812500e-04
-1.74551094e-07,4.20312500e-04,2.03625000e-02,2.49218750e-04
-1.74511094e-07,5.01562500e-04,2.03887500e-02,2.42187500e-04
-1.74471094e-07,5.04687500e-04,2.03287500e-02,1.39843750e-04
