Time(s),CH1V,CH2V,CH3V
8.800000e-07,-4.600000e-03,2.448382e-02,-1.146667e-03
8.900000e-07,-2.680000e-03,2.473634e-02,-6.853333e-03
9.000000e-07,-5.026666e-03,2.450270e-02,7.466667e-04
9.100000e-07,-7.600000e-04,2.502898e-02,-7.786667e-03
9.200000e-07,-4.813334e-03,2.479534e-02,-5.413333e-03
9.300000e-07,-2.893333e-03,2.471746e-02,2.186667e-03
9.400000e-07,-1.826667e-03,2.500892e-02,-1.146667e-03
9.500000e-07,-1.400000e-03,2.547738e-02,-6.853333e-03
9.600000e-07,-3.320000e-03,2.450270e-02,3.600000e-03
9.700000e-07,-7.600000e-04,2.432688e-02,-4.960000e-03
9.800000e-07,-4.173333e-03,2.506792e-02,-3.520000e-03
9.900000e-07,-2.680000e-03,2.483428e-02,-1.064000e-02
1.000000e-06,-4.386667e-03,2.496998e-02,2.640000e-03
1.010000e-06,-1.186667e-03,2.493104e-02,-9.706667e-03
1.020000e-06,-2.893333e-03,2.678246e-02,-2.106667e-03
1.030000e-06,-2.253333e-03,2.395754e-02,-9.226667e-03
1.040000e-06,-5.240000e-03,2.430800e-02,-4.480000e-03
1.050000e-06,-1.613333e-03,2.440476e-02,-7.333333e-03
1.060000e-06,-5.026666e-03,2.413218e-02,-4.480000e-03
1.070000e-06,-1.613333e-03,2.426906e-02,-6.853333e-03
1.080000e-06,-4.600000e-03,2.403542e-02,5.493333e-03
1.090000e-06,-2.893333e-03,2.463958e-02,-9.706667e-03
1.100000e-06,-3.960000e-03,2.426906e-02,2.640000e-03
1.110000e-06,-9.733333e-04,2.391860e-02,-1.256000e-02
1.120000e-06,-4.386667e-03,2.415224e-02,-6.666667e-04
1.130000e-06,-2.253333e-03,2.477528e-02,-8.266667e-03
1.140000e-06,-4.386667e-03,2.385960e-02,-6.666667e-04
1.150000e-06,-7.600000e-04,2.504786e-02,-8.746667e-03
1.160000e-06,-5.026666e-03,2.419118e-02,-6.666667e-04
1.170000e-06,-2.893333e-03,2.483428e-02,-7.786667e-03
1.180000e-06,-5.453333e-03,2.415224e-02,5.493333e-03
1.190000e-06,-2.680000e-03,2.465846e-02,-1.208000e-02
1.200000e-06,-5.026666e-03,2.460064e-02,1.226667e-03
1.210000e-06,-2.680000e-03,2.411330e-02,-2.106667e-03
1.220000e-06,-4.386667e-03,2.452276e-02,7.466667e-04
1.230000e-06,-1.826667e-03,2.458058e-02,-3.520000e-03
1.240000e-06,-4.813334e-03,2.461952e-02,7.466667e-04
1.250000e-06,-3.533333e-03,2.452276e-02,-2.106667e-03
1.260000e-06,-4.600000e-03,2.393748e-02,4.560000e-03
1.270000e-06,-1.826667e-03,2.467852e-02,-8.266667e-03
1.280000e-06,-5.026666e-03,2.481422e-02,-6.666667e-04
1.290000e-06,-1.826667e-03,2.508798e-02,-7.333333e-03
1.300000e-06,-4.600000e-03,2.479534e-02,-2.586667e-03
1.310000e-06,-3.320000e-03,2.483428e-02,-1.256000e-02
1.320000e-06,-4.386667e-03,2.463958e-02,7.466667e-04
1.330000e-06,-2.680000e-03,2.440476e-02,-4.960000e-03
